Sample,OD600,Time_s
P21.F9_noMC,0.5663,55943.634
P21.F9_noMC,0.5676,56876.186
P21.F9_noMC,0.5683,57808.624
P21.F9_noMC,0.5674,58741.026
P21.F9_noMC,0.5684,59673.323
P21.F9_noMC,0.568,60605.752
P21.F9_noMC,0.5669,61538.212
P21.F9_noMC,0.5684,62470.619
P21.F9_noMC,0.5695,63403.101
P21.F9_noMC,0.5683,64335.647
P21.F9_noMC,0.567,65268.122
P21.F9_noMC,0.569,66200.595
P21.F9_noMC,0.5701,67133.085
P21.F9_noMC,0.5703,68065.552
P21.F9_noMC,0.5719,68998.018
P21.F9_noMC,0.571,69930.555
P21.F9_noMC,0.5746,70863.021
P21.F9_noMC,0.5813,71795.421
P21.F9_noMC,0.5817,72727.925
P21.F9_noMC,0.58,73660.508
P21.F9_MC,0.1272,0
P21.F9_MC,0.1328,927.268
P21.F9_MC,0.1128,1859.687
P21.F9_MC,0.1142,2792.16
P21.F9_MC,0.123,3724.632
P21.F9_MC,0.132,4657.102
P21.F9_MC,0.1392,5589.631
P21.F9_MC,0.1459,6522.193
P21.F9_MC,0.1563,7454.487
P21.F9_MC,0.1693,8386.937
P21.F9_MC,0.1864,9319.439
P21.F9_MC,0.2045,10251.889
P21.F9_MC,0.2272,11184.439
P21.F9_MC,0.2522,12116.883
P21.F9_MC,0.2767,13049.281
P21.F9_MC,0.3018,13981.655
P21.F9_MC,0.3148,14914.142
P21.F9_MC,0.3312,15846.702
P21.F9_MC,0.3466,16779.28
P21.F9_MC,0.3617,17711.855
P21.F9_MC,0.3796,18644.329
P21.F9_MC,0.3906,19576.844
P21.F9_MC,0.4018,20509.373
P21.F9_MC,0.4189,21441.922
P21.F9_MC,0.4292,22374.504
P21.F9_MC,0.4401,23307.015
P21.F9_MC,0.4553,24239.47
P21.F9_MC,0.4709,25171.902
P21.F9_MC,0.4748,26104.468
P21.F9_MC,0.4983,27037.057
P21.F9_MC,0.5075,27969.65
P21.F9_MC,0.5158,28902.088
P21.F9_MC,0.5256,29834.682
P21.F9_MC,0.535,30767.242
P21.F9_MC,0.5436,31699.776
P21.F9_MC,0.5481,32632.176
P21.F9_MC,0.5504,33564.472
P21.F9_MC,0.5528,34496.941
P21.F9_MC,0.5465,35429.418
P21.F9_MC,0.5485,36361.963
P21.F9_MC,0.5511,37294.415
P21.F9_MC,0.5506,38226.892
P21.F9_MC,0.5494,39159.364
P21.F9_MC,0.5443,40091.808
P21.F9_MC,0.5433,41024.249
P21.F9_MC,0.5382,41956.683
P21.F9_MC,0.5328,42889.133
