"","genome_ID","total_n","total_seq_bp","avg_seq_bp","median_seq_bp","N50_bp","min_seq_bp","max_seq_bp"
"110","plate12.C8.pilon.contigs_renamed.fasta",80,5987148,74839.35,9884,231755,128,666782
"112","plate12.D12.pilon.contigs_renamed.fasta",67,6141931,91670.61,387,848013,128,1426915
"113","plate12.D1.pilon.contigs_renamed.fasta",79,5983811,75744.44,29069,197987,128,492999
"114","plate12.D2.pilon.contigs_renamed.fasta",59,5922361,100379,36583,267346,128,717120
"115","plate12.D5.pilon.contigs_renamed.fasta",38,5837831,153627.13,72801.5,397915,128,982298
"117","plate12.D8.pilon.contigs_renamed.fasta",44,5940172,135003.91,63706,393865,128,926518
"118","plate12.D9.pilon.contigs_renamed.fasta",56,5940502,106080.39,69720,222549,128,490941
"119","plate12.E10.pilon.contigs_renamed.fasta",358,6089781,17010.56,325,1115699,128,1451349
"120","plate12.E11.pilon.contigs_renamed.fasta",417,6100057,14628.43,299,1115744,128,1451348
"121","plate12.E1.pilon.contigs_renamed.fasta",341,6185404,18139.01,302,1437562,128,1827718
"122","plate12.E2.pilon.contigs_renamed.fasta",296,6075022,20523.72,345.5,260641,128,804870
"123","plate12.E3.pilon.contigs_renamed.fasta",375,6173300,16462.13,301,848013,128,1426916
"124","plate12.E4.pilon.contigs_renamed.fasta",117,5982320,51130.94,325,694732,128,1283416
"125","plate12.E5.pilon.contigs_renamed.fasta",142,6021950,42408.1,343,262257,128,691624
"126","plate12.E6.pilon.contigs_renamed.fasta",97,6121338,63106.58,344,847721,128,1426915
"127","plate12.E7.pilon.contigs_renamed.fasta",116,6086253,52467.7,347.5,484672,128,1021337
"128","plate12.E8.pilon.contigs_renamed.fasta",244,6039881,24753.61,319,676962,128,1274704
"129","plate12.E9.pilon.contigs_renamed.fasta",281,6043728,21507.93,293,569483,128,705068
"130","plate12.F10.pilon.contigs_renamed.fasta",70,6059425,86563.21,5230.5,359272,128,516679
"131","plate12.F11.pilon.contigs_renamed.fasta",100,5983413,59834.13,495.5,335332,128,1025703
"132","plate12.F12.pilon.contigs_renamed.fasta",704,6318907,8975.72,342,316791,128,752727
"133","plate12.F1.pilon.contigs_renamed.fasta",99,5943975,60040.15,2019,247296,128,650220
"134","plate12.F2.pilon.contigs_renamed.fasta",66,5978636,90585.39,357,592518,128,1043802
"135","plate12.F3.pilon.contigs_renamed.fasta",86,5974485,69470.76,3981,358735,128,569549
"136","plate12.F6.pilon.contigs_renamed.fasta",51,6101949,119646.06,3249,517570,128,847706
"137","plate12.F9.pilon.contigs_renamed.fasta",62,5966013,96226.02,19744.5,328572,128,748130
"138","plate12.G1.pilon.contigs_renamed.fasta",117,6142272,52498.05,1977,186740,128,381552
"139","plate12.G2.pilon.contigs_renamed.fasta",66,6091429,92294.38,345.5,890178,128,1276282
"140","plate12.G3.pilon.contigs_renamed.fasta",72,6089876,84581.61,387.5,341117,128,708327
"141","plate12.G4.pilon.contigs_renamed.fasta",82,5970540,72811.46,27423,200381,128,534470
"142","plate12.G5.pilon.contigs_renamed.fasta",39,5945694,152453.69,538,640179,128,1770354
"144","plate12.G7.pilon.contigs_renamed.fasta",62,6084349,98134.66,38265,271785,128,702272
"145","plate12.G8.pilon.contigs_renamed.fasta",47,6084430,129455.96,318,779693,128,1437556
"146","plate12.H10.pilon.contigs_renamed.fasta",136,5968826,43888.43,364,392508,128,911999
"147","plate12.H1.pilon.contigs_renamed.fasta",151,6007388,39784.03,354,258649,128,670530
"148","plate12.H2.pilon.contigs_renamed.fasta",547,6174868,11288.61,379,261443,128,672907
"149","plate12.H3.pilon.contigs_renamed.fasta",129,6107973,47348.63,338,378014,128,714404
"150","plate12.H4.pilon.contigs_renamed.fasta",78,6117076,78424.05,2086,268601,128,786568
"151","plate12.H5.pilon.contigs_renamed.fasta",68,5994418,88153.21,361.5,497862,128,1056161
"152","plate12.H6.pilon.contigs_renamed.fasta",125,6011370,48090.96,362,365905,128,663372
"154","plate12.H8.pilon.contigs_renamed.fasta",106,5916521,55816.24,351,366029,128,874725
"155","plate12.H9.pilon.contigs_renamed.fasta",547,6214554,11361.16,336,724967,128,948979
"156","plate13.A10.pilon.contigs_renamed.fasta",53,6064184,114418.57,339,420537,128,848013
"157","plate13.A11.pilon.contigs_renamed.fasta",55,6136313,111569.33,606,435323,128,820894
"158","plate13.A1.pilon.contigs_renamed.fasta",46,6022705,130928.37,2267,463072,128,812014
"159","plate13.A2.pilon.contigs_renamed.fasta",65,6017309,92573.98,63897,189302,128,811894
"163","plate13.B10.pilon.contigs_renamed.fasta",51,6065183,118925.16,332,848013,128,1426915
"165","plate13.B2.pilon.contigs_renamed.fasta",55,6028080,109601.45,459,626069,128,812014
"166","plate13.B3.pilon.contigs_renamed.fasta",43,5947748,138319.72,534,730422,128,1770336
"167","plate13.B4.pilon.contigs_renamed.fasta",99,5752343,58104.47,421,210443,128,914576
"171","plate13.B8.pilon.contigs_renamed.fasta",51,6002044,117687.14,930,855832,128,1364785
"172","plate13.B9.pilon.contigs_renamed.fasta",43,6059649,140922.07,42972,325885,128,649967
"173","plate13.C10.pilon.contigs_renamed.fasta",1143,6648853,5817.02,350,303681,128,609026
"174","plate13.C11.pilon.contigs_renamed.fasta",116,6042145,52087.46,333.5,515412,128,1217826
"175","plate13.C12.pilon.contigs_renamed.fasta",121,5978344,49407.8,338,714674,128,1480150
"176","plate13.C1.pilon.contigs_renamed.fasta",101,6003837,59443.93,342,410940,128,875460
"177","plate13.C2.pilon.contigs_renamed.fasta",68,5995936,88175.53,316,497868,128,1892440
